PostalCode,population
37013,"97,819"
37042,"77,168"
37211,"76,834"
37075,"65,123"
37167,"59,055"
38401,"59,009"
37129,"58,040"
37130,"57,071"
37122,"56,964"
37064,"56,641"
37027,"55,130"
38017,"54,372"
38305,"52,662"
37128,"51,021"
37040,"50,953"
37421,"50,927"
37066,"50,328"
38016,"47,757"
37043,"47,576"
37087,"46,846"
38128,"45,509"
38109,"44,922"
38134,"44,853"
37918,"44,791"
38127,"44,227"
38111,"43,563"
37343,"41,655"
37920,"40,920"
38115,"40,837"
37115,"40,484"
37221,"40,425"
38002,"40,245"
37363,"40,041"
38116,"39,758"
37660,"39,062"
37620,"38,969"
37076,"38,957"
37209,"38,794"
38118,"38,664"
37207,"38,583"
38501,"38,376"
38125,"37,519"
38018,"37,217"
37922,"36,224"
37601,"35,920"
37604,"35,754"
37174,"34,873"
37814,"34,684"
37312,"34,481"
37086,"34,223"
37160,"33,903"
37643,"33,578"
37110,"33,204"
38301,"33,168"
37876,"32,425"
37803,"32,158"
37072,"32,033"
37217,"31,218"
37323,"31,178"
37923,"30,253"
37214,"30,151"
38135,"29,714"
37067,"29,595"
37830,"29,454"
37172,"29,194"
37919,"28,636"
38506,"28,476"
37931,"28,444"
37659,"27,868"
37311,"27,752"
37379,"27,532"
38024,"27,329"
37849,"27,062"
37055,"27,011"
37716,"27,010"
37664,"26,838"
37921,"26,807"
38114,"26,786"
38053,"26,545"
37801,"26,381"
37355,"26,366"
37743,"26,291"
37934,"26,195"
38117,"25,881"
37804,"25,746"
37388,"25,511"
37206,"25,470"
38138,"24,972"
37205,"24,785"
38122,"24,695"
37917,"24,286"
37138,"24,229"
37303,"24,146"
38583,"24,089"
38106,"24,029"
37148,"23,982"
37415,"23,967"
38104,"23,517"
37862,"23,425"
38119,"22,947"
37334,"22,935"
37912,"22,815"
37215,"22,414"
38141,"22,340"
38464,"22,285"
38133,"22,254"
37821,"22,121"
37091,"22,115"
37615,"21,819"
37865,"21,557"
37412,"21,128"
37212,"21,031"
38242,"20,275"
37069,"20,238"
37857,"19,871"
37914,"19,866"
38555,"19,858"
37321,"19,345"
37216,"18,609"
37932,"18,069"
37210,"17,935"
37766,"17,907"
38108,"17,894"
38351,"17,864"
37127,"17,835"
37774,"17,811"
38478,"17,654"
37208,"17,582"
37725,"17,572"
38372,"17,492"
37354,"17,438"
37745,"17,434"
37015,"17,323"
37813,"17,303"
37771,"17,276"
37938,"17,163"
38112,"17,082"
37411,"17,006"
37748,"16,860"
38063,"16,536"
37405,"16,163"
38107,"16,120"
38237,"16,003"
38019,"15,978"
38261,"15,868"
37909,"15,863"
38139,"15,774"
37179,"15,738"
37377,"15,691"
38343,"15,436"
37416,"15,364"
37763,"15,350"
37642,"15,327"
37874,"15,203"
37218,"15,198"
37188,"15,133"
37083,"15,129"
37090,"15,099"
37204,"14,768"
37663,"14,689"
38120,"14,634"
37398,"14,601"
37166,"14,358"
37073,"14,318"
37203,"14,232"
38103,"14,044"
38012,"13,941"
37406,"13,937"
38571,"13,905"
37617,"13,870"
37760,"13,371"
37618,"13,011"
37683,"12,930"
37721,"12,916"
37854,"12,871"
38340,"12,868"
37404,"12,772"
37916,"12,760"
37135,"12,380"
37772,"12,348"
37367,"12,152"
37777,"12,067"
37924,"12,000"
38556,"11,919"
37062,"11,736"
37327,"11,711"
37650,"11,691"
38358,"11,632"
37341,"11,212"
38572,"11,022"
38201,"11,005"
37879,"10,790"
38068,"10,741"
37807,"10,738"
38004,"10,614"
37407,"10,535"
38320,"10,357"
37840,"10,324"
38462,"10,042"
38011,"9,855"
37871,"9,849"
38058,"9,777"
37764,"9,741"
37397,"9,525"
37757,"9,519"
38060,"9,463"
37641,"9,407"
38570,"9,403"
37186,"9,353"
38382,"9,191"
37381,"9,105"
37841,"8,971"
37877,"8,921"
38375,"8,810"
38008,"8,773"
37861,"8,710"
38558,"8,684"
37074,"8,667"
38474,"8,617"
37190,"8,430"
37185,"8,428"
38574,"8,377"
37322,"8,359"
37825,"8,288"
37686,"8,250"
37820,"8,171"
37037,"8,046"
38344,"8,016"
37347,"7,871"
38059,"7,763"
37058,"7,758"
37701,"7,714"
37887,"7,655"
37033,"7,552"
37146,"7,551"
37331,"7,430"
37187,"7,360"
37080,"7,349"
37034,"7,246"
38544,"7,220"
37403,"7,199"
37030,"7,063"
38023,"7,050"
37330,"6,979"
38028,"6,965"
37029,"6,927"
37863,"6,903"
37098,"6,802"
37890,"6,799"
37101,"6,772"
38075,"6,668"
38562,"6,661"
38355,"6,620"
37153,"6,568"
37752,"6,559"
37419,"6,552"
37048,"6,506"
38485,"6,487"
37082,"6,479"
37022,"6,473"
38126,"6,407"
37380,"6,402"
38105,"6,209"
37708,"6,185"
37742,"6,147"
37681,"6,055"
37184,"6,002"
38310,"6,002"
37036,"5,855"
37025,"5,820"
37020,"5,820"
37329,"5,811"
37769,"5,763"
37220,"5,763"
38363,"5,728"
37324,"5,683"
37826,"5,661"
37357,"5,653"
37818,"5,651"
37665,"5,640"
37737,"5,638"
37096,"5,608"
38483,"5,568"
38225,"5,547"
38456,"5,403"
37353,"5,387"
37722,"5,380"
37754,"5,363"
37915,"5,283"
38468,"5,251"
37046,"5,098"
37645,"5,044"
38006,"5,001"
37692,"4,989"
37886,"4,967"
37370,"4,962"
37010,"4,938"
37302,"4,920"
37150,"4,906"
37032,"4,836"
37714,"4,827"
37870,"4,823"
38041,"4,816"
37307,"4,798"
38040,"4,796"
37711,"4,765"
37869,"4,685"
37310,"4,677"
38001,"4,656"
37846,"4,651"
37061,"4,646"
37616,"4,606"
38257,"4,570"
37085,"4,500"
37873,"4,447"
37336,"4,381"
38330,"4,354"
37658,"4,232"
38451,"4,204"
37402,"4,199"
37031,"4,198"
37709,"4,151"
38469,"4,125"
38049,"4,093"
37143,"4,075"
38052,"4,075"
38551,"4,065"
37860,"4,037"
37375,"4,022"
37342,"4,000"
37180,"3,986"
38585,"3,970"
37705,"3,961"
37656,"3,901"
38581,"3,895"
37191,"3,881"
38057,"3,850"
37690,"3,817"
37843,"3,807"
37189,"3,801"
37640,"3,777"
38425,"3,776"
37410,"3,764"
38549,"3,761"
37755,"3,697"
38230,"3,696"
37049,"3,685"
37811,"3,672"
38260,"3,656"
38329,"3,643"
37853,"3,556"
37338,"3,547"
37362,"3,528"
38563,"3,512"
38315,"3,448"
37035,"3,340"
38221,"3,326"
37888,"3,290"
37051,"3,253"
37880,"3,246"
38222,"3,216"
38367,"3,195"
37144,"3,195"
37756,"3,151"
37183,"3,121"
37387,"3,112"
37779,"3,110"
38313,"3,110"
37352,"3,058"
37134,"3,049"
38450,"3,039"
38472,"3,033"
37373,"3,029"
38316,"3,000"
37335,"2,924"
37308,"2,888"
37137,"2,872"
38229,"2,861"
37806,"2,853"
37891,"2,850"
37762,"2,845"
37052,"2,803"
38034,"2,785"
38357,"2,772"
38066,"2,757"
37014,"2,738"
37852,"2,718"
37149,"2,713"
38477,"2,708"
38488,"2,692"
38080,"2,692"
37409,"2,691"
37882,"2,690"
37770,"2,675"
38256,"2,670"
38356,"2,667"
37317,"2,643"
38251,"2,639"
37356,"2,617"
37309,"2,588"
38553,"2,577"
37332,"2,547"
37847,"2,535"
37339,"2,532"
37095,"2,531"
37345,"2,522"
38341,"2,513"
38449,"2,494"
38317,"2,477"
38240,"2,474"
37079,"2,471"
38233,"2,440"
37724,"2,426"
37809,"2,412"
37374,"2,403"
37727,"2,390"
37132,"2,387"
37902,"2,349"
37060,"2,344"
37012,"2,337"
37306,"2,322"
38321,"2,292"
38069,"2,286"
37097,"2,254"
38255,"2,252"
37026,"2,249"
38463,"2,214"
38015,"2,195"
37178,"2,171"
38568,"2,144"
37881,"2,135"
37142,"2,134"
37047,"2,131"
38573,"2,115"
37018,"2,092"
37145,"2,092"
38388,"2,073"
38334,"2,054"
38368,"2,032"
38505,"2,030"
38374,"2,000"
37350,"1,992"
37892,"1,973"
38345,"1,971"
37694,"1,968"
37726,"1,965"
37181,"1,963"
37614,"1,942"
38547,"1,935"
38366,"1,889"
37729,"1,826"
38232,"1,810"
37829,"1,754"
37337,"1,750"
38039,"1,750"
38220,"1,742"
38369,"1,728"
37325,"1,709"
38482,"1,695"
37408,"1,690"
38037,"1,678"
38541,"1,659"
37872,"1,633"
37713,"1,614"
38545,"1,612"
37866,"1,596"
37318,"1,586"
38580,"1,575"
37810,"1,573"
37315,"1,566"
38231,"1,555"
38342,"1,523"
38379,"1,499"
38381,"1,477"
38587,"1,473"
37313,"1,451"
37360,"1,440"
38258,"1,394"
37023,"1,380"
37201,"1,372"
38565,"1,367"
37361,"1,349"
38337,"1,336"
38362,"1,331"
37140,"1,330"
38452,"1,330"
38460,"1,329"
37050,"1,325"
37141,"1,323"
37391,"1,321"
38487,"1,304"
38582,"1,277"
37328,"1,270"
37828,"1,264"
38461,"1,245"
38577,"1,209"
37228,"1,206"
38454,"1,201"
37301,"1,194"
38560,"1,180"
38473,"1,178"
38067,"1,166"
38390,"1,144"
37059,"1,138"
37219,"1,134"
38332,"1,097"
38559,"1,096"
38391,"1,090"
38575,"1,054"
38476,"1,042"
37365,"1,039"
37118,"1,033"
38481,"1,026"
38371,"1,006"
37710,"1,006"
38241,998
37016,993
37657,991
38152,988
38554,988
38361,977
37175,970
38348,950
38579,947
38076,927
37688,914
37369,906
38253,888
38504,883
38224,878
37723,875
37305,868
37691,863
37366,852
38311,849
37753,801
38548,794
38457,786
37348,784
37240,778
37028,778
38044,772
37359,758
38588,757
37715,733
38042,726
38339,708
38370,704
37057,703
38486,702
37682,687
37819,684
37845,673
38352,654
38259,632
38236,629
38475,627
38050,615
38543,609
37340,597
38392,593
38061,591
38328,580
37019,548
38030,545
37731,541
37171,532
38036,520
37765,516
38347,510
37326,479
38380,472
37680,461
38567,423
37078,421
38459,398
37151,381
37351,375
38327,374
38564,366
38471,357
37376,351
38235,346
38453,338
38359,336
37878,323
38589,297
38318,290
38054,271
38226,266
38387,236
38070,221
37848,215
38552,211
37396,198
37719,185
38333,185
37732,167
38455,166
38376,164
38578,158
38569,124
37213,100
37733,95
37394,88
38047,85
38077,68
38254,65
38046,54
38365,53
37851,50
37165,43
38007,36
38021,20
38542,17
